County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
White County, Indiana,24688,23260,79,18,181,53865,3813,94.22,0.32
Whitley County, Indiana,34191,32852,70,18,183,64992,3875,96.08,0.2
Adams County, Iowa,3704,3597,8,19,3,52287,6210,97.11,0.22
Allamakee County, Iowa,14061,13622,12,19,5,55523,2267,96.88,0.09
Audubon County, Iowa,5674,5527,8,19,9,49245,3343,97.41,0.14
Black Hawk County, Iowa,131144,124003,343,19,13,54774,1703,94.55,0.26
Boone County, Iowa,26715,25660,41,19,15,67442,3324,96.05,0.15
Buchanan County, Iowa,20565,19960,12,19,19,67252,3997,97.06,0.06
Butler County, Iowa,14334,13974,14,19,23,56473,2472,97.49,0.1
Calhoun County, Iowa,9927,9651,28,19,25,55285,3469,97.22,0.28
Cass County, Iowa,13127,12700,33,19,29,52005,4156,96.75,0.25
Cedar County, Iowa,18505,17818,18,19,31,69259,2552,96.29,0.1
Cherokee County, Iowa,11658,11260,16,19,35,56302,3937,96.59,0.14
Chickasaw County, Iowa,12012,11566,8,19,37,61239,4606,96.29,0.07
Clay County, Iowa,16384,15762,34,19,41,51259,4208,96.2,0.21
Clinton County, Iowa,46460,44116,87,19,45,52221,1825,94.95,0.19
Crawford County, Iowa,16525,14763,31,19,47,54849,3622,89.34,0.19
Davis County, Iowa,9110,8881,13,19,51,67627,5448,97.49,0.14
Decatur County, Iowa,7645,7373,26,19,53,48154,5320,96.44,0.34
Des Moines County, Iowa,38910,36675,113,19,57,51784,1945,94.26,0.29
Dickinson County, Iowa,17703,17144,28,19,59,60975,4405,96.84,0.16
Dubuque County, Iowa,99266,95632,179,19,61,64493,1829,96.34,0.18
Emmet County, Iowa,9388,8904,24,19,63,56708,4377,94.84,0.26
Fayette County, Iowa,19509,18746,35,19,65,49834,2791,96.09,0.18
Floyd County, Iowa,15627,15035,28,19,67,51768,4448,96.21,0.18
Franklin County, Iowa,10019,9280,32,19,69,55630,3882,92.62,0.32
Fremont County, Iowa,6605,6318,20,19,71,59688,3771,95.65,0.3
Greene County, Iowa,8771,8439,15,19,73,51098,3681,96.21,0.17
Grundy County, Iowa,12329,11955,16,19,75,71760,2530,96.97,0.13
Guthrie County, Iowa,10623,10289,9,19,77,62644,4284,96.86,0.08
Hamilton County, Iowa,15039,14250,27,19,79,60248,3809,94.75,0.18
Hancock County, Iowa,10795,10290,25,19,81,61957,2562,95.32,0.23
Hardin County, Iowa,16878,16154,16,19,83,54930,3307,95.71,0.09
Harrison County, Iowa,14582,14113,23,19,85,64154,2780,96.78,0.16
Henry County, Iowa,20482,19506,35,19,87,54490,3833,95.23,0.17
Howard County, Iowa,9469,9161,16,19,89,56709,3693,96.75,0.17
Humboldt County, Iowa,9597,9289,12,19,91,55707,3069,96.79,0.13
Ida County, Iowa,7005,6817,7,19,93,54219,6425,97.32,0.1
Iowa County, Iowa,16662,16035,18,19,95,62660,4742,96.24,0.11
Jackson County, Iowa,19485,18983,29,19,97,59042,4591,97.42,0.15
Jefferson County, Iowa,15663,14860,38,19,101,47401,5786,94.87,0.24
Johnson County, Iowa,152854,143105,451,19,103,63062,2139,93.62,0.3
Keokuk County, Iowa,10033,9713,15,19,107,52012,3890,96.81,0.15
Lee County, Iowa,33555,31766,83,19,111,52072,2250,94.67,0.25
Linn County, Iowa,230299,216562,700,19,113,67301,1701,94.04,0.3
Lucas County, Iowa,8634,8353,16,19,117,53967,5884,96.75,0.19
Lyon County, Iowa,11934,11599,13,19,119,65959,3454,97.19,0.11
Mahaska County, Iowa,22190,21307,29,19,123,56417,3870,96.02,0.13
Marshall County, Iowa,40105,36399,103,19,127,58735,3536,90.76,0.26
Mills County, Iowa,14484,13783,15,19,129,75137,3855,95.16,0.1
Monona County, Iowa,8751,8404,11,19,133,51866,2737,96.03,0.13
Monroe County, Iowa,7577,7339,6,19,135,59489,10746,96.86,0.08
Muscatine County, Iowa,43235,39828,108,19,139,60435,3574,92.12,0.25
Osceola County, Iowa,6192,5879,10,19,143,61167,5550,94.95,0.16
Page County, Iowa,15211,14558,44,19,145,51196,2328,95.71,0.29
Plymouth County, Iowa,25698,24622,45,19,149,71147,3210,95.81,0.18
Pocahontas County, Iowa,7078,6780,9,19,151,53573,3339,95.79,0.13
Pottawattamie County, Iowa,93667,88128,259,19,155,59901,2070,94.09,0.28
Ringgold County, Iowa,4663,4508,8,19,159,55970,4370,96.68,0.17
Sac County, Iowa,9814,9528,8,19,161,57446,2978,97.09,0.08
Shelby County, Iowa,11746,11336,31,19,165,60139,6735,96.51,0.26
Sioux County, Iowa,35872,33628,26,19,167,73260,3339,93.74,0.07
Tama County, Iowa,17135,16072,55,19,171,54749,3285,93.8,0.32
Union County, Iowa,12138,11697,16,19,175,50375,4030,96.37,0.13
Van Buren County, Iowa,7203,7004,23,19,177,49898,1902,97.24,0.32
Warren County, Iowa,52403,50023,70,19,181,80309,2158,95.46,0.13
Washington County, Iowa,22565,21507,15,19,183,63532,3509,95.31,0.07
Webster County, Iowa,36999,35098,76,19,187,51909,2902,94.86,0.21
Winneshiek County, Iowa,20070,19509,22,19,191,63162,3839,97.2,0.11
Woodbury County, Iowa,105941,96330,424,19,193,60768,1628,90.93,0.4
Wright County, Iowa,12943,12099,18,19,197,51221,4707,93.48,0.14
Adair County, Iowa,7496,7262,15,19,1,55700,2833,96.88,0.2
Appanoose County, Iowa,12317,11906,15,19,7,39693,2931,96.66,0.12
Benton County, Iowa,25575,24626,23,19,11,66046,3853,96.29,0.09
Bremer County, Iowa,24988,24240,38,19,17,72209,2872,97.01,0.15
Buena Vista County, Iowa,20823,18625,40,19,21,54014,4120,89.44,0.19
Carroll County, Iowa,20760,20166,12,19,27,59198,1953,97.14,0.06
Cerro Gordo County, Iowa,43127,40987,61,19,33,56082,1509,95.04,0.14
Clarke County, Iowa,9748,9083,24,19,39,55078,3913,93.18,0.25
Clayton County, Iowa,17043,16618,16,19,43,56456,4304,97.51,0.09
Dallas County, Iowa,99678,93884,273,19,49,88368,4142,94.19,0.27
Delaware County, Iowa,17488,17094,19,19,55,63877,4910,97.75,0.11
Jasper County, Iowa,37813,36317,57,19,99,59481,2666,96.04,0.15
Jones County, Iowa,20646,19977,33,19,105,57134,3878,96.76,0.16
Kossuth County, Iowa,14828,14313,24,19,109,56156,2881,96.53,0.16
Louisa County, Iowa,10837,10072,19,19,115,63034,4390,92.94,0.18
Madison County, Iowa,16548,15884,31,19,121,71811,5066,95.99,0.19
Marion County, Iowa,33414,32156,52,19,125,64136,2564,96.24,0.16
Mitchell County, Iowa,10565,10298,30,19,131,60260,5593,97.47,0.28
Montgomery County, Iowa,10330,9956,12,19,137,55761,3045,96.38,0.12
O'Brien County, Iowa,14182,13533,12,19,141,57200,5233,95.42,0.08
Palo Alto County, Iowa,8996,8689,6,19,147,56437,3705,96.59,0.07
Polk County, Iowa,492401,455712,1580,19,153,69747,1046,92.55,0.32
Poweshiek County, Iowa,18662,18018,31,19,157,53925,2277,96.55,0.17
Scott County, Iowa,174669,161757,821,19,163,63876,1619,92.61,0.47
Story County, Iowa,98537,92525,220,19,169,58302,2779,93.9,0.22
Taylor County, Iowa,5896,5646,18,19,173,57768,5241,95.76,0.31
Wapello County, Iowa,35437,33402,108,19,179,46433,3029,94.26,0.3
Wayne County, Iowa,6497,6327,9,19,185,47543,2906,97.38,0.14
Winnebago County, Iowa,10679,10259,19,19,189,51581,3291,96.07,0.18
Worth County, Iowa,7443,7182,13,19,195,60442,3869,96.49,0.17
Allen County, Kansas,12526,11744,53,20,1,47983,4671,93.76,0.42
Anderson County, Kansas,7836,7506,18,20,3,52995,4846,95.79,0.23
Atchison County, Kansas,16348,15346,53,20,5,50683,5302,93.87,0.32
Barber County, Kansas,4228,4011,16,20,7,49668,4445,94.87,0.38
Barton County, Kansas,25493,23556,50,20,9,48863,2616,92.4,0.2
Bourbon County, Kansas,14360,13400,46,20,11,46369,5334,93.31,0.32
Butler County, Kansas,67380,62152,184,20,15,66405,2918,92.24,0.27
Chautauqua County, Kansas,3379,3154,20,20,19,39500,5349,93.34,0.59
Cherokee County, Kansas,19362,17593,61,20,21,41936,3846,90.86,0.32
Clark County, Kansas,1991,1866,8,20,25,52500,6135,93.72,0.4
Clay County, Kansas,8117,7761,17,20,27,47880,9515,95.61,0.21
Coffey County, Kansas,8360,7954,18,20,31,59405,3838,95.14,0.22
Comanche County, Kansas,1689,1599,9,20,33,48125,12380,94.67,0.53
Crawford County, Kansas,38972,35798,144,20,37,42615,1948,91.86,0.37
Dickinson County, Kansas,18402,17367,28,20,41,53864,3260,94.38,0.15
Doniphan County, Kansas,7510,7169,16,20,43,51953,5140,95.46,0.21
Edwards County, Kansas,2907,2645,13,20,47,50028,2826,90.99,0.45
Elk County, Kansas,2483,2328,17,20,49,42564,3119,93.76,0.68
Ellsworth County, Kansas,6376,6059,14,20,53,56306,3442,95.03,0.22
Finney County, Kansas,38470,29845,175,20,55,60498,5184,77.58,0.45
Franklin County, Kansas,25996,24208,76,20,59,55873,3925,93.12,0.29
Geary County, Kansas,36739,31875,424,20,61,52019,3581,86.76,1.15
Graham County, Kansas,2415,2314,8,20,65,40890,3367,95.82,0.33
Gray County, Kansas,5653,5205,22,20,69,70457,3170,92.08,0.39
Greeley County, Kansas,1284,1179,16,20,71,53750,4216,91.82,1.25
Hamilton County, Kansas,2518,2180,5,20,75,44894,6292,86.58,0.2
Harper County, Kansas,5485,5168,10,20,77,49283,3601,94.22,0.18
Haskell County, Kansas,3780,3425,22,20,81,54638,5141,90.61,0.58
Hodgeman County, Kansas,1723,1642,7,20,83,60703,9898,95.3,0.41
Jefferson County, Kansas,18368,17226,36,20,87,67429,4980,93.78,0.2
Johnson County, Kansas,609863,556797,2438,20,91,91650,1194,91.3,0.4
Kearny County, Kansas,3983,3237,20,20,93,46464,3845,81.27,0.5
Kiowa County, Kansas,2460,2289,3,20,97,53107,4134,93.05,0.12
Labette County, Kansas,20184,18146,82,20,99,47922,3014,89.9,0.41
Leavenworth County, Kansas,81881,74764,397,20,103,76307,2986,91.31,0.48
Lincoln County, Kansas,2939,2821,10,20,105,46523,4490,95.99,0.34
Logan County, Kansas,2762,2618,5,20,109,51136,6450,94.79,0.18
McPherson County, Kansas,30223,28505,80,20,113,59928,3386,94.32,0.26
Marion County, Kansas,11823,11310,29,20,115,50816,2195,95.66,0.25
Meade County, Kansas,4055,3640,21,20,119,56817,3023,89.77,0.52
Miami County, Kansas,34191,32003,79,20,121,75635,2980,93.6,0.23
Montgomery County, Kansas,31486,28060,160,20,125,45288,2962,89.12,0.51
Morris County, Kansas,5386,5098,10,20,127,52792,4567,94.65,0.19
Nemaha County, Kansas,10273,9945,22,20,131,61382,6550,96.81,0.21
Neosho County, Kansas,15904,14763,39,20,133,49493,5045,92.83,0.25
Norton County, Kansas,5459,5200,15,20,137,48486,5542,95.26,0.27
Osborne County, Kansas,3500,3371,11,20,141,50774,7825,96.31,0.31
Ottawa County, Kansas,5735,5431,17,20,143,59607,6144,94.7,0.3
Pawnee County, Kansas,6253,5807,36,20,145,46559,6208,92.87,0.58
Phillips County, Kansas,4981,4768,14,20,147,51820,2320,95.72,0.28
Pottawatomie County, Kansas,25348,23575,99,20,149,70064,5664,93.01,0.39
Pratt County, Kansas,9157,8652,13,20,151,54644,4137,94.49,0.14
Rawlins County, Kansas,2561,2389,10,20,153,57281,6229,93.28,0.39
Reno County, Kansas,61898,57319,161,20,155,51520,1419,92.6,0.26
Republic County, Kansas,4674,4496,7,20,157,50411,2757,96.19,0.15
Rice County, Kansas,9427,8529,19,20,159,49688,4080,90.47,0.2
Riley County, Kansas,71959,65932,396,20,161,51098,2497,91.62,0.55
Rooks County, Kansas,4919,4696,21,20,163,51362,2960,95.47,0.43
Rush County, Kansas,2956,2843,7,20,165,46333,5944,96.18,0.24
Russell County, Kansas,6691,6322,13,20,167,50630,4236,94.49,0.19
Saline County, Kansas,54303,49026,269,20,169,51830,1769,90.28,0.5
Scott County, Kansas,5151,4580,20,20,171,55625,15938,88.91,0.39
Sedgwick County, Kansas,523824,466162,3333,20,173,57540,994,88.99,0.64
Seward County, Kansas,21964,16737,80,20,175,49395,3528,76.2,0.36
Shawnee County, Kansas,178909,159926,1197,20,177,58652,2197,89.39,0.67
Sheridan County, Kansas,2447,2331,8,20,179,62105,11608,95.26,0.33
Brown County, Kansas,9508,8901,14,20,13,50649,4202,93.62,0.15
Chase County, Kansas,2572,2464,11,20,17,48906,9140,95.8,0.43
Cheyenne County, Kansas,2616,2413,11,20,23,42802,7146,92.24,0.42
Cloud County, Kansas,9032,8631,8,20,29,48295,6566,95.56,0.09
Cowley County, Kansas,34549,31201,129,20,35,50786,2035,90.31,0.37
Decatur County, Kansas,2764,2645,9,20,39,44125,8480,95.69,0.33
Douglas County, Kansas,118785,108285,679,20,45,61020,2649,91.16,0.57
Ellis County, Kansas,28934,27284,63,20,51,57053,5321,94.3,0.22
Ford County, Kansas,34287,27738,157,20,57,53743,2981,80.9,0.46
Gove County, Kansas,2718,2571,10,20,63,53906,5318,94.59,0.37
Grant County, Kansas,7352,5926,26,20,67,60625,29159,80.6,0.35
Greenwood County, Kansas,6016,5646,28,20,73,43320,2874,93.85,0.47
Harvey County, Kansas,34024,31329,135,20,79,58782,3546,92.08,0.4
Jackson County, Kansas,13232,12260,43,20,85,59686,2321,92.65,0.32
Jewell County, Kansas,2932,2803,13,20,89,38188,4324,95.6,0.44
Kingman County, Kansas,7470,7137,13,20,95,57304,6215,95.54,0.17
Lane County, Kansas,1574,1468,11,20,101,41318,10348,93.27,0.7
Linn County, Kansas,9591,9093,7,20,107,48325,6682,94.81,0.07
Lyon County, Kansas,32179,29082,103,20,111,50141,2915,90.38,0.32
Marshall County, Kansas,10038,9649,17,20,117,52293,3009,96.12,0.17
Mitchell County, Kansas,5796,5574,35,20,123,47375,3647,96.17,0.6
Morton County, Kansas,2701,2427,22,20,129,41866,7672,89.86,0.81
Ness County, Kansas,2687,2545,12,20,135,57222,5835,94.72,0.45
Osage County, Kansas,15766,14941,48,20,139,58927,2107,94.77,0.3
Stafford County, Kansas,4072,3739,12,20,185,51857,6419,91.82,0.29
Sumner County, Kansas,22382,20810,44,20,191,53578,3792,92.98,0.2
Wabaunsee County, Kansas,6877,6449,16,20,197,65742,5799,93.78,0.23
Wichita County, Kansas,2152,1850,17,20,203,58299,13819,85.97,0.79
Woodson County, Kansas,3115,2945,13,20,207,42692,6843,94.54,0.42
Sherman County, Kansas,5927,5493,28,20,181,57005,5414,92.68,0.47
Smith County, Kansas,3570,3468,8,20,183,42098,2957,97.14,0.22
Stanton County, Kansas,2084,1757,10,20,187,57741,5319,84.31,0.48
Stevens County, Kansas,5250,4654,17,20,189,59044,10839,88.65,0.32
Thomas County, Kansas,7930,7487,20,20,193,68313,8121,94.41,0.25
Trego County, Kansas,2808,2675,13,20,195,59420,7707,95.26,0.46
Wallace County, Kansas,1512,1426,1,20,199,49632,5993,94.31,0.07
Washington County, Kansas,5530,5288,12,20,201,52172,2909,95.62,0.22
Wilson County, Kansas,8624,7994,36,20,205,49682,3864,92.69,0.42
Wyandotte County, Kansas,169245,143962,976,20,209,48093,1290,85.06,0.58
Lewis County, Kentucky,13080,12725,20,21,135,29844,4753,97.29,0.15
Lincoln County, Kentucky,24275,23426,22,21,137,42231,2655,96.5,0.09
Livingston County, Kentucky,8888,8439,15,21,139,52795,6676,94.95,0.17
Logan County, Kentucky,27432,26226,72,21,141,48912,3262,95.6,0.26
Lyon County, Kentucky,8680,8428,8,21,143,49286,4810,97.1,0.09
McCracken County, Kentucky,67875,63772,194,21,145,47011,2709,93.96,0.29
McCreary County, Kentucky,16888,16399,17,21,147,29499,4540,97.1,0.1
Madison County, Kentucky,92701,87075,188,21,151,51649,1964,93.93,0.2
Marion County, Kentucky,19581,18705,45,21,155,43587,4402,95.53,0.23
Marshall County, Kentucky,31659,30378,33,21,157,57348,6057,95.95,0.1
Mason County, Kentucky,17120,16210,48,21,161,46241,5270,94.68,0.28
Meade County, Kentucky,30003,28080,139,21,163,61500,2808,93.59,0.46
Mercer County, Kentucky,22641,21548,50,21,167,52312,3388,95.17,0.22
Metcalfe County, Kentucky,10286,9966,11,21,169,40391,4813,96.89,0.11
Montgomery County, Kentucky,28114,26859,60,21,173,46998,8342,95.54,0.21
Morgan County, Kentucky,13726,13173,23,21,175,37399,3860,95.97,0.17
Nelson County, Kentucky,46738,44533,68,21,179,63032,3482,95.28,0.15
Nicholas County, Kentucky,7537,7310,10,21,181,47665,11233,96.99,0.13
Oldham County, Kentucky,67607,63337,194,21,185,103761,4248,93.68,0.29
Owen County, Kentucky,11278,10813,30,21,187,50553,2898,95.88,0.27
Pendleton County, Kentucky,14644,14120,30,21,191,56000,4855,96.42,0.2
Pike County, Kentucky,58669,57191,48,21,195,34700,1789,97.48,0.08
Powell County, Kentucky,13129,12776,13,21,197,41071,7234,97.31,0.1
Robertson County, Kentucky,2193,2131,10,21,201,53074,8199,97.17,0.46
Rockcastle County, Kentucky,16037,15586,22,21,203,38744,3453,97.19,0.14
Russell County, Kentucky,17991,17390,18,21,207,41731,4161,96.66,0.1
Scott County, Kentucky,57155,53496,158,21,209,71750,3679,93.6,0.28
Simpson County, Kentucky,19594,18499,33,21,213,50159,4222,94.41,0.17
Spencer County, Kentucky,19490,18495,31,21,215,85488,6998,94.89,0.16
Todd County, Kentucky,12243,11664,19,21,219,47229,7358,95.27,0.16
Trimble County, Kentucky,8474,8141,16,21,223,57589,8818,96.07,0.19
Union County, Kentucky,13668,13076,19,21,225,49812,2499,95.67,0.14
Washington County, Kentucky,12027,11548,33,21,229,55321,3938,96.02,0.27
Wayne County, Kentucky,19555,18949,33,21,231,37678,3262,96.9,0.17
Whitley County, Kentucky,36712,35450,66,21,235,39258,3930,96.56,0.18
Wolfe County, Kentucky,6562,6454,1,21,237,22292,3723,98.35,0.02
Allen County, Kentucky,20588,19690,31,21,3,44180,2903,95.64,0.15
Adair County, Kentucky,18903,18226,22,21,1,43026,2746,96.42,0.12
Anderson County, Kentucky,23852,22706,32,21,5,54413,5080,95.2,0.13
Ballard County, Kentucky,7728,7362,13,21,7,45517,7708,95.26,0.17
Bath County, Kentucky,12750,12405,12,21,11,44893,4625,97.29,0.09
Bell County, Kentucky,24097,23246,27,21,13,28442,3544,96.47,0.11
Bourbon County, Kentucky,20252,19179,33,21,17,47024,4489,94.7,0.16
Boyd County, Kentucky,48261,46302,51,21,19,51019,1998,95.94,0.11
Bracken County, Kentucky,8400,8107,9,21,23,60053,9198,96.51,0.11
Breckinridge County, Kentucky,20432,19467,27,21,27,47236,4661,95.28,0.13
Bullitt County, Kentucky,82217,77888,133,21,29,65531,2614,94.73,0.16
Caldwell County, Kentucky,12649,12071,16,21,33,48281,6162,95.43,0.13
Calloway County, Kentucky,37103,34996,127,21,35,41841,2381,94.32,0.34
Carlisle County, Kentucky,4826,4642,11,21,39,41222,5943,96.19,0.23
Carroll County, Kentucky,10810,10153,29,21,41,41014,7635,93.92,0.27
Casey County, Kentucky,15941,15498,25,21,45,33004,2136,97.22,0.16
Christian County, Kentucky,72748,67633,349,21,47,44279,2913,92.97,0.48
Clay County, Kentucky,20345,19861,22,21,51,27479,6131,97.62,0.11
Clinton County, Kentucky,9253,8959,7,21,53,33092,3789,96.82,0.08
Cumberland County, Kentucky,5888,5666,25,21,57,35030,4640,96.23,0.42
Daviess County, Kentucky,103312,97953,208,21,59,54881,2684,94.81,0.2
Elliott County, Kentucky,7354,7237,5,21,63,36950,8070,98.41,0.07
Fayette County, Kentucky,322570,299720,1293,21,67,58954,1465,92.92,0.4
Fleming County, Kentucky,15082,14712,10,21,69,42087,5276,97.55,0.07
Franklin County, Kentucky,51541,48439,123,21,73,59056,4949,93.98,0.24
Fulton County, Kentucky,6515,6168,20,21,75,31587,1601,94.67,0.31
Garrard County, Kentucky,16953,16155,31,21,79,55369,4757,95.29,0.18
Grant County, Kentucky,24941,23676,44,21,81,56746,4814,94.93,0.18
Grayson County, Kentucky,26420,25543,29,21,85,38262,3826,96.68,0.11
Green County, Kentucky,11107,10755,20,21,87,33846,4973,96.83,0.18
Hancock County, Kentucky,9095,8809,9,21,91,56265,4992,96.86,0.1
Hardin County, Kentucky,110702,101302,573,21,93,57101,2203,91.51,0.52
Harrison County, Kentucky,18692,17914,25,21,97,50270,5272,95.84,0.13
Henderson County, Kentucky,44793,42460,76,21,101,50471,2364,94.79,0.17
Henry County, Kentucky,15678,14943,54,21,103,52550,4768,95.31,0.34
Hickman County, Kentucky,4521,4331,15,21,105,44063,11136,95.8,0.33
Hopkins County, Kentucky,45423,43177,71,21,107,47014,2608,95.06,0.16
Jackson County, Kentucky,12955,12664,7,21,109,31515,5264,97.75,0.05
Jefferson County, Kentucky,782969,725795,2832,21,111,58196,670,92.7,0.36
Jessamine County, Kentucky,52991,49976,107,21,113,64855,3361,94.31,0.2
Johnson County, Kentucky,22680,22177,32,21,115,38333,3764,97.78,0.14
Kenton County, Kentucky,169064,158566,438,21,117,66541,1823,93.79,0.26
Knott County, Kentucky,14251,13977,25,21,119,32531,3136,98.08,0.18
Knox County, Kentucky,30193,29194,54,21,121,30257,3934,96.69,0.18
Larue County, Kentucky,14867,14174,34,21,123,48495,4012,95.34,0.23
Laurel County, Kentucky,62613,60347,50,21,125,43745,2701,96.38,0.08
Lawrence County, Kentucky,16293,15898,19,21,127,32856,4246,97.58,0.12
Lee County, Kentucky,7395,7226,10,21,129,24699,4899,97.71,0.14
Leslie County, Kentucky,10513,10291,10,21,131,36038,5412,97.89,0.1
Letcher County, Kentucky,21548,21062,21,21,133,33181,2910,97.74,0.1
Boone County, Kentucky,135968,127288,314,21,15,82838,3216,93.62,0.23
Boyle County, Kentucky,30614,28604,76,21,21,51562,3048,93.43,0.25
Breathitt County, Kentucky,13718,13217,178,21,25,29538,2704,96.35,1.3
Butler County, Kentucky,12371,11944,42,21,31,45955,6206,96.55,0.34
Campbell County, Kentucky,93076,88583,153,21,37,63152,2766,95.17,0.16
Carter County, Kentucky,26627,25978,23,21,43,39492,3829,97.56,0.09
Clark County, Kentucky,36972,35239,80,21,49,54871,3355,95.31,0.22
Crittenden County, Kentucky,8990,8706,19,21,55,46354,5493,96.84,0.21
Edmonson County, Kentucky,12126,11764,19,21,61,44229,7834,97.01,0.16
Estill County, Kentucky,14163,13763,15,21,65,32800,4028,97.18,0.11
Floyd County, Kentucky,35942,35155,40,21,71,35096,3215,97.81,0.11
Gallatin County, Kentucky,8690,8238,19,21,77,55113,4966,94.8,0.22
Graves County, Kentucky,36649,34447,37,21,83,45614,2975,93.99,0.1
Greenup County, Kentucky,35962,34770,40,21,89,52337,2550,96.69,0.11
Harlan County, Kentucky,26831,25904,36,21,95,28261,2426,96.55,0.13
Hart County, Kentucky,19288,18509,27,21,99,39834,2789,95.96,0.14
McLean County, Kentucky,9152,8889,20,21,149,54181,4405,97.13,0.22
Magoffin County, Kentucky,11637,11431,12,21,153,27807,2623,98.23,0.1
Martin County, Kentucky,11287,11120,1,21,159,42894,5391,98.52,0.01
Menifee County, Kentucky,6113,5951,21,21,165,46746,5699,97.35,0.34
Monroe County, Kentucky,11338,11027,2,21,171,35078,6638,97.26,0.02
Muhlenberg County, Kentucky,30928,29930,60,21,177,45937,2604,96.77,0.19
Ohio County, Kentucky,23772,22985,34,21,183,45773,1502,96.69,0.14
Owsley County, Kentucky,4051,3938,11,21,189,29406,4866,97.21,0.27
Perry County, Kentucky,28473,27610,43,21,193,39594,6416,96.97,0.15
Pulaski County, Kentucky,65034,62275,76,21,199,40658,3456,95.76,0.12
Rowan County, Kentucky,24662,23859,21,21,205,42754,4856,96.74,0.09
Shelby County, Kentucky,48065,44499,97,21,211,72564,5760,92.58,0.2
Taylor County, Kentucky,26023,24860,33,21,217,50266,6614,95.53,0.13
Trigg County, Kentucky,14061,13442,36,21,221,50980,2781,95.6,0.26
Warren County, Kentucky,134554,126031,295,21,227,54325,1868,93.67,0.22
Webster County, Kentucky,13017,12456,47,21,233,44540,4889,95.69,0.36
Woodford County, Kentucky,26871,25261,56,21,239,66442,3338,94.01,0.21
Barren County, Kentucky,44485,42257,77,21,9,41674,1878,94.99,0.17
Ascension Parish, Louisiana,126500,118718,396,22,5,82594,3061,93.85,0.31
Beauregard Parish, Louisiana,36549,34566,128,22,11,49256,4724,94.57,0.35
Caddo Parish, Louisiana,237848,226988,724,22,17,42003,1802,95.43,0.3
Cameron Parish, Louisiana,5617,5416,6,22,23,56902,12362,96.42,0.11
Concordia Parish, Louisiana,18687,18140,24,22,29,36294,3512,97.07,0.13
East Carroll Parish, Louisiana,7459,7299,18,22,35,24551,7609,97.85,0.24
Franklin Parish, Louisiana,19774,19195,32,22,41,35759,3125,97.07,0.16
Iberville Parish, Louisiana,30241,29165,62,22,47,49539,5290,96.44,0.21
Jefferson Davis Parish, Louisiana,32250,30821,136,22,53,42716,6728,95.57,0.42
St. Mary Parish, Louisiana,49406,46138,168,22,101,40218,1780,93.39,0.34
Tensas Parish, Louisiana,4147,4020,22,22,107,29767,3373,96.94,0.53
Union Parish, Louisiana,21107,20308,46,22,111,45094,4097,96.21,0.22
Washington Parish, Louisiana,45463,43664,79,22,117,39185,4316,96.04,0.17
West Carroll Parish, Louisiana,9751,9421,17,22,123,42545,7108,96.62,0.17
Acadia Parish, Louisiana,57576,55603,119,22,1,44412,3187,96.57,0.21
Allen Parish, Louisiana,22750,21679,100,22,3,48328,6008,95.29,0.44
Assumption Parish, Louisiana,21039,20184,42,22,7,44742,8959,95.94,0.2
Avoyelles Parish, Louisiana,39693,37886,101,22,9,35530,5841,95.45,0.25
Bienville Parish, Louisiana,12981,12406,39,22,13,27815,3867,95.57,0.3
Bossier Parish, Louisiana,128746,119411,552,22,15,55448,3786,92.75,0.43
Calcasieu Parish, Louisiana,216785,204918,751,22,19,52866,2183,94.53,0.35
Caldwell Parish, Louisiana,9645,9301,9,22,21,40690,3024,96.43,0.09
Catahoula Parish, Louisiana,8906,8662,10,22,25,40973,7071,97.26,0.11
Claiborne Parish, Louisiana,14170,13741,36,22,27,26849,1595,96.97,0.25
De Soto Parish, Louisiana,26812,25675,98,22,31,44436,3577,95.76,0.37
East Baton Rouge Parish, Louisiana,456781,434158,1296,22,33,56076,1600,95.05,0.28
East Feliciana Parish, Louisiana,19539,18939,44,22,37,54187,7211,96.93,0.23
Evangeline Parish, Louisiana,32350,31181,58,22,39,31427,2271,96.39,0.18
Grant Parish, Louisiana,22169,21200,65,22,43,51449,6491,95.63,0.29
Iberia Parish, Louisiana,69929,66207,238,22,45,50602,2030,94.68,0.34
Jackson Parish, Louisiana,15031,14418,54,22,49,41760,6158,95.92,0.36
Jefferson Parish, Louisiana,440781,397972,1971,22,51,54825,1819,90.29,0.45
Lafayette Parish, Louisiana,241753,227471,848,22,55,58761,3037,94.09,0.35
Lafourche Parish, Louisiana,97557,92250,230,22,57,54530,3990,94.56,0.24
LaSalle Parish, Louisiana,14791,14298,37,22,59,51141,2411,96.67,0.25
Lincoln Parish, Louisiana,48396,46477,84,22,61,36496,3492,96.03,0.17
Livingston Parish, Louisiana,142282,133278,343,22,63,67365,4614,93.67,0.24
Madison Parish, Louisiana,10017,9784,25,22,65,32585,5883,97.67,0.25
Morehouse Parish, Louisiana,25629,24697,66,22,67,33780,3524,96.36,0.26
Natchitoches Parish, Louisiana,37515,35633,185,22,69,30625,2574,94.98,0.49
Orleans Parish, Louisiana,383997,359331,1822,22,71,43258,1483,93.58,0.47
Ouachita Parish, Louisiana,160368,153589,297,22,73,44934,2587,95.77,0.19
Plaquemines Parish, Louisiana,23515,21534,138,22,75,65234,4025,91.58,0.59
