County_State,State,Total_Population,Male_Population,Female_Population,State_Code,County_Code,Median_Income,Margin_Error_Income,Percent_Male,Percent_Female
Routt County, Colorado,24829,23004,59,8,107,76198,5621,92.65,0.24
San Juan County, Colorado,705,628,6,8,111,56875,17249,89.08,0.85
Summit County, Colorado,31055,28429,78,8,117,80709,5148,91.54,0.25
Weld County, Colorado,328981,283696,1752,8,123,74332,1878,86.23,0.53
Hartford County, Connecticut,899498,819125,4461,9,3,76259,1117,91.06,0.5
Litchfield County, Connecticut,185186,172181,596,9,5,81590,3041,92.98,0.32
New Haven County, Connecticut,864835,782472,4192,9,9,71370,1130,90.48,0.48
New London County, Connecticut,268555,244341,1878,9,11,75831,1832,90.98,0.7
Windham County, Connecticut,116418,106872,562,9,15,67365,2174,91.8,0.48
Fairfield County, Connecticut,957419,854584,3999,9,1,97539,1460,89.26,0.42
Middlesex County, Connecticut,164245,152898,621,9,7,84907,2396,93.09,0.38
Tolland County, Connecticut,149788,140567,574,9,13,87809,2324,93.84,0.38
New Castle County, Delaware,570719,527020,2587,10,3,75275,1812,92.34,0.45
Sussex County, Delaware,237378,220366,736,10,5,64905,2081,92.83,0.31
Kent County, Delaware,181851,166044,1165,10,1,60117,1839,91.31,0.64
District of Columbia, District of Columbia,689545,633468,4262,11,1,90842,1580,91.87,0.62
Bay County, Florida,175216,159888,759,12,5,56483,1516,91.25,0.43
Broward County, Florida,1944375,1559585,11701,12,11,60922,748,80.21,0.6
Citrus County, Florida,153843,144110,358,12,17,45689,1264,93.67,0.23
Columbia County, Florida,69698,65032,164,12,23,44818,3070,93.31,0.24
Duval County, Florida,995567,906087,5266,12,31,56769,929,91.01,0.53
Franklin County, Florida,12451,11811,18,12,37,48814,4804,94.86,0.14
Glades County, Florida,12126,10802,51,12,43,39709,3322,89.08,0.42
Hardee County, Florida,25327,20961,74,12,49,40165,3839,82.76,0.29
Highlands County, Florida,101235,90284,300,12,55,43708,1841,89.18,0.3
Indian River County, Florida,159788,145720,452,12,61,57945,2678,91.2,0.28
Lafayette County, Florida,8226,7870,42,12,67,51734,6662,95.67,0.51
Leon County, Florida,292198,270566,1110,12,73,54675,1352,92.6,0.38
Liberty County, Florida,7974,7645,38,12,77,39121,7072,95.87,0.48
Marion County, Florida,375908,338609,1441,12,83,46587,1434,90.08,0.38
Monroe County, Florida,82874,70397,297,12,87,72012,4580,84.94,0.36
Okeechobee County, Florida,39644,35512,123,12,93,46097,2842,89.58,0.31
Alachua County, Florida,278468,250960,1730,12,1,50089,1475,90.12,0.62
Baker County, Florida,28259,27154,38,12,3,62299,4893,96.09,0.13
Bradford County, Florida,28303,27135,54,12,7,43580,4024,95.87,0.19
Brevard County, Florida,606612,545794,3143,12,9,59359,1230,89.97,0.52
Calhoun County, Florida,13648,12802,55,12,13,38037,3455,93.8,0.4
Charlotte County, Florida,186847,173903,545,12,15,52724,1452,93.07,0.29
Clay County, Florida,218245,197040,1369,12,19,68657,2124,90.28,0.63
Collier County, Florida,375752,320816,944,12,21,70217,2044,85.38,0.25
DeSoto County, Florida,33976,30020,89,12,27,36360,2616,88.36,0.26
Dixie County, Florida,16759,15971,45,12,29,41674,1917,95.3,0.27
Escambia County, Florida,321905,296278,1573,12,33,53023,1332,92.04,0.49
Flagler County, Florida,115378,104994,560,12,35,57536,2337,91,0.49
Gadsden County, Florida,43826,41584,102,12,39,41135,2461,94.88,0.23
Gilchrist County, Florida,17864,16704,57,12,41,47381,4044,93.51,0.32
Gulf County, Florida,14192,13475,39,12,45,50640,3582,94.95,0.27
Hamilton County, Florida,14004,13315,48,12,47,38300,6178,95.08,0.34
Hendry County, Florida,39619,31834,113,12,51,36978,3948,80.35,0.29
Hernando County, Florida,194515,174448,871,12,53,50280,1196,89.68,0.45
Hillsborough County, Florida,1459762,1213730,9459,12,57,60566,790,83.15,0.65
Holmes County, Florida,19653,18766,37,12,59,39215,3549,95.49,0.19
Jackson County, Florida,47319,45054,130,12,63,40754,1741,95.21,0.27
Jefferson County, Florida,14510,13922,25,12,65,49081,7142,95.95,0.17
Lake County, Florida,383956,342554,1568,12,69,55792,1607,89.22,0.41
Lee County, Florida,760822,663644,2491,12,71,59608,1036,87.23,0.33
Levy County, Florida,42915,39758,134,12,75,38951,1880,92.64,0.31
Madison County, Florida,17968,17167,35,12,79,35240,3859,95.54,0.19
Manatee County, Florida,399710,358329,1238,12,81,59963,1457,89.65,0.31
Martin County, Florida,158431,144862,402,12,85,65821,2203,91.44,0.25
Miami-Dade County, Florida,2701767,1570186,14377,12,86,53975,598,58.12,0.53
Nassau County, Florida,90352,84611,277,12,89,72998,3786,93.65,0.31
Okaloosa County, Florida,211668,188035,1888,12,91,64373,2235,88.83,0.89
Orange County, Florida,1429908,1164813,9915,12,95,61416,815,81.46,0.69
Osceola County, Florida,388656,291049,3211,12,97,55538,1528,74.89,0.83
Palm Beach County, Florida,1492191,1283933,6122,12,99,65015,820,86.04,0.41
Pasco County, Florida,561891,496812,2766,12,101,53431,1154,88.42,0.49
Pinellas County, Florida,959107,874645,3805,12,103,56419,861,91.19,0.4
Putnam County, Florida,73321,68093,227,12,107,40068,1808,92.87,0.31
St. Johns County, Florida,273425,249317,1148,12,109,83803,2416,91.18,0.42
St. Lucie County, Florida,329226,288170,1525,12,111,55237,1568,87.53,0.46
