"class","precision","recall","f1-score","support","model"
"<=50K","0.8654873164218959","0.9015994436717664","0.8831743869209809","5752","RandomForest"
">50K","0.6646919431279621","0.5819502074688797","0.620575221238938","1928","RandomForest"
"accuracy","0.8213541666666667","0.8213541666666667","0.8213541666666667","0","RandomForest"
"macro avg","0.765089629774929","0.741774825570323","0.7518748040799594","7680","RandomForest"
"weighted avg","0.8150793112512312","0.8213541666666667","0.8172510547028847","7680","RandomForest"
