"class","precision","recall","f1-score","support","model"
"0","0.8621288692356286","0.8877866319726785","0.874769649867799","6149","KNeighbors"
"1","0.6185737976782753","0.5617469879518072","0.5887924230465666","1992","KNeighbors"
"accuracy","0.8080088441223436","0.8080088441223436","0.8080088441223436","0","KNeighbors"
"macro avg","0.7403513334569519","0.7247668099622429","0.7317810364571828","8141","KNeighbors"
"weighted avg","0.8025340157112154","0.8080088441223436","0.8047946301124992","8141","KNeighbors"
