"class","precision","recall","f1-score","support","model"
"0","0.872437743520244","0.8953407510431154","0.8837408837408838","5752","NeuralNetwork"
"1","0.6612267867191897","0.6094398340248963","0.6342780026990553","1928","NeuralNetwork"
"accuracy","0.8235677083333334","0.8235677083333334","0.8235677083333334","0","NeuralNetwork"
"macro avg","0.7668322651197168","0.7523902925340058","0.7590094432199695","7680","NeuralNetwork"
"weighted avg","0.8194149929066459","0.8235677083333334","0.8211153063126748","7680","NeuralNetwork"
